,Rating,Review
0,5,Grab before it's Gone!
1,5,Ryzen 4500u with upgradeable internals
2,5,Best Deal on Laptop I've ever got
3,5,Best value for money thinkpad e14
4,5,"Wonderful Laptop from Thinkpad ,just Grab it without a second thought"
5,5,Great business laptop
6,5,Definitely a steal at 46k INR
7,5,Devil in Disguise
8,5,Solid all-rounder with excellent performance!
9,5,A beast!
10,4,Good deal. Go for it.
11,4,Perfect Work Laptop
12,4,Great build quality
13,4,great performance bad display
14,4,It's a very good laptop.
15,4,"Sturdy, Sleek, Value for Money Thinkpad"
16,4,Check for price variations
17,4,Great laptop overall though it has certain flaws
18,4,Best laptop for 50k
19,4,Amazing laptop with a few issues
20,3,Good performance but bad hardware and build quality.
21,3,Battery life is not as per company claims
22,3,4650U Review
23,3,Lighting fast delivery by Amazon just in 20hrs delivery after placing order....
24,3,Good performance
25,3,"Good look but performance not very good , speed not fast"
26,3,Billing issue
27,3,Price is increased by seller. 45k is best buy. Can check other models with good deals
28,2,Good laptop but Terrible Lenovo Customer support
29,1,4650U does NOT have an IPS panel. It is TN.
30,1,"Specs have been changed. It is TN Display, not IPS."
31,1,"Motherboard, hard disk gone within 2 months. Lenevo not supporting much."
32,1,No Serial Number in Invoice or Order Summary
33,1,Wrong warranty status
34,1,Missing bag
35,1,Bad display.
36,1,Pathetic service and fraud exchange scheme
37,1,Don't buy
38,1,Display is not good as it is a TN display and not good
39,4,Not packed well
40,3,Okay
41,3,What would be the problem
42,1,"excessive heating with use of even 2-3 hours, stoped working after 2 week"
43,1,Poor performance
44,1,Battery 🔋 not charging and not worth
45,1,Worst ever
46,5,Best SSD laptop - no heating or any other issues
47,5,excellent
48,5,Super Product
49,5,A Lightweight Laptop with complete Essentials for Students and a Powerful SSD
50,5,Value for Money Blazing Fast start up
51,5,Awesome
52,5,Fully Satisfied!
53,5,Just awesome..
54,5,Good student laptop
55,5,Best for students and normal office work.
56,4,Light weight and good battery time
57,4,Value for Money. Great Budget Laptop with less Upgrade Possibility
58,4,Great one for work
59,4,Value for money
60,4,Go for it
61,4,Best for normal use
62,4,Slow Speed and shady/ glare display
63,4,Average build quality
64,4,Good for general use
65,4,The Best Value for Money....
66,3,Good not excellent not for games
67,3,Decent laptop for school students
68,3,Ok for the money
69,3,Okay product
70,3,"MS Office is not there, not disclosed in features."
71,3,Average laptop in it's price range !
72,3,Dont recommend window 10 at all
73,3,Good basic laptop
74,3,Anti virus was for only one month
75,3,Bad display
76,2,HP should review this laptop again worst product.
77,2,Regretted
78,2,hanging problem
79,2,Not Worth to buy
80,2,I don’t recommended to buy this product
81,2,Slow processors.
82,2,Hanging issues with win 10 os
83,2,average laptop
84,2,Don’t buy
85,2,The processor is slow so the system takes a bit too long to load and perform operations
86,1,Not happy with Amazon and seller return policy here
87,1,TOTAL MONEY LOSS
88,1,Sound
89,1,Worst laptop available on Amazon
90,1,Microsoft does not open
91,1,Hangs too much
92,1,Build quality needs to be improved
93,1,product is very defective
94,1,Unhappy with this product
95,1,Return policy is not available
96,5,Pathetic product
97,5,Value for Money
98,5,Beginner stuff
99,5,Best hp laptop for commercial use
100,5,HP Laptop
101,5,Nice product nice battery backup
102,5,Superb
103,5,All feature are good but update bios by calling at hp castomer care
104,5,Superb laptop
105,5,Nice product
106,4,"This laptop is good but if you spend more 3000 , you will get far better laptop from it."
107,4,Battery life to be extendeh
108,4,Good one
109,4,Good purchase
110,4,Smooth and efficient laptop.
111,4,Value for money but only for basic work
112,4,Very fast delivery
113,4,Good purchase
114,4,Good but little slow
115,4,good product
116,3,Ok except display
117,3,Slow in performance..
118,3,Battery back up
119,3,Battery 🔋 not good
120,3,Slow speed
121,3,Speed
122,3,Very Slow
123,3,Worst product not worth for money.
124,3,Slow
125,3,Good laptop for student
126,2,Turn out to be disaster initially because of faulty product.
127,2,Worthless laptop
128,2,not good product
129,2,Laptop slowness
130,2,Very bad experience
131,1,Bad product
132,1,Bad quality
133,1,Bad quality
134,1,Waste of Money
135,1,"Wasted of Money and Time to buy HP Laptops, bad customer service"
136,1,NO WINDOWS LIFETIME VALIDITY
137,1,Waste product
138,1,VERY POOR QUALITY ZERO VALUED - SEEMS CHEATED
139,1,Extremely slow. Good only for small kids for their training. Not worthwhile for any adults.
140,1,Not worth buying
141,5,Ryzen 3 3250U much better than core i3 10th generation
142,5,Good
143,5,Good laptop for medium multitasking.
144,5,Best Laptop under 40k
145,5,Highly recommended. Go for it.
146,5,Best laptop
147,5,Value for maney
148,5,Good laptop for student and office use - Thank you Amazon
149,5,An amazing laptop for students!
150,5,Nice
151,4,All in all
152,4,Worth buying at this price rate....
153,4,Initial impressions are great
154,4,"Some times got stuck, but Then also best choice under 40k"
155,4,Good laptop for normal use at this price
156,4,Nice laptop
157,4,Good option under 40K for normal usage
158,4,Reasonably good
159,4,Good product for making medium medium price
160,4,Value for Money..
161,3,USB ports not compatible!
162,3,Heavy excel file stucks..
163,3,Lower available memory than installed
164,3,Heating Issue
165,3,Product oils not worth of 43k
166,3,No power on indicate light.
167,3,Very slow
168,3,Black light bleeding
169,3,Recommend
170,3,Audio is not good...sound breaks....speaker breaks
171,2,"Dont buy this Processor, this hangs a lot"
172,2,Poor Performance
173,2,Hangs a lot with Teams. Had to return it.
174,2,Not worth the price you pay
175,2,Mouse pad jumping
176,2,Below Average
177,1,Unsure of the Configuration
178,1,Worst ram
179,1,"Cheap Quality cheap material cheap Sounds,Please don't buy it.."
180,1,Poor laptop for 41K - freezes with MS Teams
181,1,Does not work with microsoft teams app. it freezes
182,1,"Mic is not working , Disturbance while online call and meeting , voice not audible to others"
183,1,Wifi not working
184,1,Not a good product
185,1,Don't like as per budget
186,1,battry is not good very week
187,5,Review
188,5,Very happy with the product
189,5,A budget laptop which requires upgrade in Storage Type and RAM.
190,5,Looks and speed astonishing Lenovo
191,5,Go for it
192,5,Good
193,5,"Value for money, a must buy latop for students."
194,5,Thanks
195,5,Best Fir Basic Learning
196,5,Good at this price
197,4,Laptop good but 4GB ram not enough
198,4,Good Budget laptop below 35k.
199,4,Overall good
200,4,Best budget laptop
201,4,Nice
202,4,Good
203,4,Much better than Intel Laptops
204,4,Battery capacity ...... ⭐ ⭐ ⭐3 star
205,4,Not for gaming in minecraft it give 60 fps on optifine
206,4,Good
207,3,Good screen resolution but Poor plastic and design
208,3,VFM but plastic body
209,3,Looks like working on 2gb RAM
210,3,"Not so good nor so bad, medium quality and ranged product"
211,3,Very slow..Please confirm does this laptop comes with ms office free
212,3,Hangs much
213,3,Overall okay
214,3,Not good
215,3,bad product
216,3,Not bad
217,2,Rough edges bruising the hand
218,2,Celeron is much better than this
219,2,DON'T BUY!!!
220,2,Super slow
221,2,Slow on speed. Unable to handle multiple tabs.
222,2,Slow Speed and Hanging problem
223,2,"1. MS office is not activate. I need product key, 2. Battery backup almost 4 hours"
224,2,Quality
225,2,Systems me cd drive nahi hai
226,2,"Do more research, and forget about this one"
227,1,Cannot even operate basic softwares
228,1,Bad product
229,1,"Waste of money, too much lagging issues"
230,1,Worst Quality and Worst Performenece Ever..
231,1,DON'T BUY
232,1,Be cautious while buying laptop online.
233,1,WORST PRODUCT
234,1,Extremely bad service by lenovi
235,1,Bilkul bekar
236,1,No
237,5,"Certainly YES for Students, Office Work"
238,5,Simply best
239,5,I like Asus products they offer good prices and performance.
240,5,OVerall the product is really nice and good.
241,5,Value for money
242,5,Good product with best service by Amazon
243,5,very fast product
244,5,Fast & nice for students
245,5,Worth every penny
246,5,No Backlit keyboard...
247,4,Very fast & efficient
248,4,Need ssd upgrade for better performance.
249,4,Good for students
250,4,delivery and replacement
251,4,Its ok
252,4,Not too sure about their quality if service set up.
253,4,Slow Start
254,4,Very good product
255,4,Affordable
256,4,Affordable
257,3,Don't expect high
258,3,Sleek but slow
259,3,Average Product
260,3,Very Slow Working
261,3,Good produced
262,3,Product headline and specs do not match
263,2,Bakwas camera 0.3 mp what a blunder they have done
264,2,It's not worth
265,2,I recommend it only for normal uses...not for heavy work
266,2,Slow performance
267,1,Very slow. Terrible buy
268,1,Worst products
269,1,Please don’t buy this product
270,1,No Graphics Card
271,1,Very Very worst product
272,1,Too Slow a Laptop
273,1,Very bad laptop.
274,1,"Battery issues , freezing on battery backup."
275,1,Repenting
276,1,Very Poor Performance
277,5,Ok product
278,5,Excellent laptop .Recommended to buy 👍🏻👍🏻👍🏻👍🏻
279,5,Advice for everyone with experience
280,5,For normal usage it is good.
281,5,Quality is well maintained.
282,5,Super with this price range
283,5,Good Laptop
284,5,Very good
285,5,Best Budget Laptop
286,5,Nice
287,4,good product
288,4,Microsoft Office?
289,4,Nice
290,4,Basic work laptop
291,4,Works nice
292,4,budget friendly
293,3,POOR BATTERY BACKUP..ALSO ITS TAKES MUCH TIME for Opening any page ..
294,2,Money Wasted
295,2,Dont waste money on this
296,2,Battery quality
297,2,Worst product
298,1,Not working also visited hp service centere
299,1,Very slow
300,1,display is bad and performance is low
301,1,Camera not working
302,1,white patch on screen
303,1,Very slow. Not price worthy.
304,1,It is very poor product don't buy any buddy this laptop
305,1,Waste of money.
306,1,Its working very slow
307,1,Speed issue
308,5,Performance and looks
309,5,Good budgeted laptop with w10 and ms office
310,5,"Value for money, pretty fast, good display"
311,5,Fast and comfortable
312,5,"Sturdy, reliable, moderately priced"
313,5,A simple and good product for non-professional users
314,5,Worthy
315,5,Good Buy
316,5,Lovely product
317,5,Good machine for home user
318,4,Elegant design and Executive looks. Excellent!!
319,4,"Good for performance, quality ok ok"
320,4,Go for it for normal usage!!!!
321,4,Good product
322,4,Value for money and fast processing.
323,4,Value for money Product
324,4,Value for money but can improve
325,4,Battery poor
326,4,Good laptop with pathetic keyboard
327,4,Good for beginners
328,3,Good purchase for a student.
329,3,MS activation steps ?!
330,3,MisInformation provided for processor
331,3,Performance
332,3,Battery life not good
333,3,Bad
334,3,Not bad but i think we should go with i5 in this range instead of core i3.
335,2,Not satisfied with service after sales
336,2,Decent laptop but gets hot
337,2,Feed Back
338,2,It's hanging several times from starting when I puchased
339,1,Laptop crashed while setting up
340,1,Speaker is buzzing
341,1,providing mis information/ Cheating
342,1,Item is not working as per the expectation
343,1,That don't buy online they service by amazon is horrible!!
344,1,heating problem
345,1,Not good.
346,1,Defective LAPTOP.. Very bad replacement & return experience.
347,1,Poor laptop getting hanged every day
348,1,Product is broken and damage
349,5,Good one
350,5,Great product during Amazon Day
351,5,Total package in budget ☺️
352,5,Good experience so far
353,5,GREAT PRODUCT FOR THE PRICE
354,5,Detailed Answer
355,5,An awesome machine from a programmers perspective.
356,5,Best/Beast under 60K.
357,5,Perfect 👌 laptop for Gamers
358,5,Awesome purchase!
359,4,Best performance under 60k
360,4,Bang on Buck❤️
361,4,All-rounder with some Compromise(Battery/Built Quality)
362,4,A perfect laptop at a perfect budget
363,4,Good Product.
364,4,Terrible experience finally resolved
365,4,Great bang for your buck
366,4,Bang for the buck
367,4,100% Worth buying in 56k
368,4,Great value for money
369,3,80% value for money
370,3,Huge compromise on the build quality
371,3,Great product but without SSD!!!
372,3,Good laptop for under 60k
373,3,Too slow and worst packing
374,3,Gaming issue
375,3,Good but too slow
376,3,keyboard
377,3,"Good one by hp, bad one by Amazon."
378,3,Slow
379,2,Don't buy without reading this
380,2,Something incomplete
381,2,Decent laptop.
382,2,It is too slow according to the processor..
383,2,Good laptop but price was increased
384,1,Replacement issue (no help provided by Amazon)
385,1,Biggest mistake of my life.
386,1,"Not at all satisfied with HP, I recommend not to buy this."
387,1,Bad experience
388,1,Performance slow
389,1,"Irony "" it's a gaming laptop"" !!"
390,1,Not good
391,1,Pathetic performance. Startup takes more than 5 min.
392,1,Bad performance of laptop
393,1,Headache 😓
394,5,One of the best Windows Laptop!
395,5,Premium Device - Recommended
396,5,Too good
397,5,Love it!
398,5,The best laptop ever
399,5,great product
400,5,Authentic product
401,5,Awesome product so far!!!!
402,5,Excellent Laptop
403,5,NICE
404,4,Gaming issue
405,3,Average Keyboard and display.
406,3,Microsoft Surface Laptop 3
407,2,Terrible after sales service
408,2,Microsoft is not good for hardware products
409,1,Don't buy expensive products from amazon
410,1,crashed too soon
411,1,No Microsoft office
412,1,Good
413,1,Unreliable Microsoft hardware
414,1,Keep your entire data on cloud
415,1,Charger cost 11K conks off every 3 months
416,1,Note: Its not repairable
417,5,First Day Review - More Tablet & Less Laptop
418,5,Warranty issue.
419,5,"Tab & Key board combination, perfectly looks like a laptop. Pen adds value."
420,5,Go with this without any 2nd thought.
421,5,Laptop rewiew
422,4,"Great device at great price , very useful for every day needs"
423,4,Can be used both as tab and laptop
424,4,best 2in1 laptop
425,4,A good replacement to ms surface pro.
426,4,Very compact 2 in 1 laptop at an affordable price
427,4,USB ports on keyboard
428,2,"A lot of information mentioned is wrong, it's not anti glare screen, it's not FHD"
429,2,Too small size
430,2,High price
431,1,Faulty product
432,1,Don't buy
433,1,Sensor
434,1,Warranty issue
435,1,Key board switch quality not good
436,1,Very very slow
437,1,Processor is very slow
438,1,Damaged and unsealed product was delivered
439,1,Bad device!!!! Wastage of money....
440,1,No parts available if a problem arises
441,5,Battery capacity nice 🔥 audio dolbi 2.0 nice speaker
442,5,Awesome Product @ affordable price
443,5,Good product
444,5,Nice buy under budget
445,5,Good for online classes
446,5,Suprb product don't think about about reviews just buy it
447,5,Value for Money
448,5,Awesome
449,5,Must buy
450,5,Best for online as school
451,4,Good product
452,4,okay not bad
453,4,Performance
454,4,Good for coding
455,4,Md Amjad
456,4,Online classroon go for it
457,4,Value for Money
458,4,Excellent laptop for student
459,4,Good
460,4,Good product
461,3,Accessories not available in box
462,3,window 10 not installed in new laptop why?
463,3,It just a replacement for Tab and Mobile
464,3,"Disappointed me was, no reply from customer care"
465,3,Display are not good
466,3,Quite good
467,3,Customer care is not attend call properly
468,3,Display is 720p max and not FHD.
469,3,Best lap
470,3,Average
471,2,Laptop bag missing
472,2,Keyboard is defective
473,2,Okayish
474,2,For basic use also it is not supporting
475,2,Important information
476,1,Screen Dark / Product Faulty
477,1,Not worth it
478,1,Dont Buy
479,1,Wated money where cant use the ear plug
480,1,Don't buy it
481,1,Laptop had issues
482,1,Not working
483,1,Worst experience
484,1,Very Low Quality Product
485,1,NOT WORKING WITH IN SHORT MONTHS
486,5,Good
487,5,Excellent Product
488,5,Amazing Laptop for day to day use...
489,5,Good👍 product
490,5,"It's worth the price , go for it without any hesitation 👌"
491,5,meets the requirements on the budget price
492,5,Good quality refurbished product
493,5,Value for money and timely delivery
494,5,Good Experience
495,5,Very good laptop
496,4,It works for the price -
497,4,An Excellent Laptop For Office Use
498,4,All working laptop with very good screen quality
499,4,Good but should include above features
500,4,Budget friendly
501,4,Recommended to buy this for emergency business need and at very low price...
502,4,Worth for 20k but need few modifications
503,4,Good looking
504,4,Good product
505,4,Good quality
506,1,"PLEASE DON'T BUY, ITS BAD"
507,1,Experience is very disgusting.
508,1,"This is a usesd pc, not value for money."
509,5,Value for money
510,5,Value for money
511,5,Value for money.
512,5,More than my suspecting I have get good Operating system
513,5,Superb
514,5,Excellent 🆗
515,5,Office work👍
516,5,value for money
517,5,Add a RAM to it
518,5,Awesome product
519,4,You can buy it if your budget is around 27000.
520,4,Always on time with safety measures
521,4,Very bad webcam
522,4,Value for money!
523,4,"😘Support fingerprint😉, but keybord backlight😣😡"
524,5,V. Nice product
525,5,Good product
526,5,Nice product
527,5,Having Security of Finger Privacy Also
528,5,Asus is best deal
529,5,Good
530,5,Good Product
531,5,Super
532,5,Good laptop
533,5,osm
534,5,Best
535,5,Great
536,5,Very efficient for daily uses
537,5,Best in the budget laptop
538,5,Good product for routine works
539,4,nice product.
540,4,Good product
541,4,Good
542,4,Good
543,4,Good for beginners in programming
544,3,Not happy
545,3,I personally don't like this laptop.
546,2,Good product
547,2,Poor performance
548,2,Slow laptop. Look for alternatives
549,1,LAPTOP IS BOGUS
550,1,Very very slow
551,1,Poor quality and poorer customer service experience from Amazon
552,1,Very poor battery life
553,1,No Charger Included!
554,1,I agree that I am a greatest stupid in universe who purchase this laptop.
555,1,Laptop Camera not working
556,1,Worst laptop
557,1,Worst laptop worst company
558,1,Slow laptop
559,5,Honest review
560,5,MUST READ
561,5,Best at this price
562,5,express delivery
563,5,Good laptop. Should come with 8 GB RAM & SSD by default.
564,5,Looks Premium
565,5,Best laptop for this price
566,5,Laptop is superb. Amazon support is superb. Seller packed a defective unit
567,5,Satisfactory Laptop for the money.
568,5,Great product in this price range
569,4,Amazing Product
570,4,Add an ssd and upgrade RAM
571,4,First Think then Buy
572,4,Awesome Performance
573,4,Best one within Budget.
574,4,Pretty good product😊
575,4,Decent laptop for school kids and daily home use
576,4,Best Budget laptop for students.
577,4,Good laptop for home use
578,4,Most honest review.Read this before buying
579,3,Good
580,3,HONEST REVIEW MUST READ....
581,3,Good value for money but not for heavy users
582,3,Decent one in this price range
583,3,Useless unless you're ready to upgrade
584,3,Well balanced laptop at this price range.
585,3,Complete guide after a month
586,3,3 star. Not so great. Okay machine.
587,3,Value For Money & Its For Average Use Only
588,3,Good Product for light application works in this price range
589,2,Discussing
590,2,Really really bad after sales service.
591,2,I'm not happy with the performance of this laptop
592,2,Part okay and part issues with product
593,2,"Good quality, but slow"
594,2,Why I didn't like this laptop
595,2,Slow processor. Slow PC
596,2,"Processor is slow, not recommend. Only for beginners/kids. bigginers"
597,2,Very slow system
598,2,Cost Benefit
599,1,Bogus product very slow
600,1,AVOID wasting your money. Its a Piece of Junk. Too slow!!
601,1,2014 LENOVA LAPTOP SOLD IN 2020 - VERY SAD
602,1,Microsoft Office 2019 missing
603,1,Worst Laptop I ever Used
604,1,Pathetic service support... slowest laptop... biggest mistake of my life
605,1,Fraudulent company
606,1,Hoax and Scam by Lenovo Team
607,1,It's not even suitable for regular basic use
608,1,Number keys are not working.
609,5,Good
610,5,Not the best but not bad for this price.
611,5,Good
612,5,Excellent Laptop at this price range.
613,5,Nice ❤👍
614,4,too good...
615,1,Bad product
616,1,Mousepad/Internet issue
617,1,Bad product
618,1,useless
619,1,I want with window laptop and it's not useful
620,5,Best 4600h laptop under 70k!
621,5,High performing laptop. Brightness is somewhat low at 250 nits.
622,5,Best budget lappy for gaming and productivity
623,5,Its my beauty and my beast ❤
624,5,"""Awesome Laptop😎😎"""
625,5,"If Multicore performance is what youre after, This is a beast. Leaves i7 11th gen in the dust."
626,5,Performance but at what cost?🤔
627,5,Great Laptop below 70k for casual gamers
628,5,Battery life time is not so good but I can say that it is a Good lappy..... Everything is good....💛
629,5,Performance beast! Best for gaming and multitasking
630,4,Mixed usage
631,4,Mid-tier beast
632,4,Value for money
633,4,Good mid range gaming laptop.
634,4,Best gaming laptop in this range
635,4,Nice buy!
636,4,Lenovo legion 5
637,4,Abhi says OK
638,4,Worth the money.
639,4,ACCESSORIES SHOULD BE PROVIDED
640,3,Warranty activation complaints
641,3,नाम बड़े दर्शन छोटे
642,3,Battery backup very bad
643,3,This product are batter not much.
644,2,NO i am disappointed at my speakers
645,2,Overall good laptop without prejudice to issues raised by me
646,2,Complete mess
647,1,Worst Purchase from Amazon in my life!!
648,1,"Brightness very low , RGB very Bad, Heavy weight,,more large in size,"
649,1,Faulty product
650,1,Where is my activation code?????
651,1,Sucking screen
652,1,Plz delivery correct one which we have ordered
653,1,Waste of money🤮🤮
654,1,Worst service from lenovo company....
655,5,No Complaints... Extremely good😍
656,5,"Best laptop for school, college and offices also"
657,5,Product is good. Worth buying
658,5,Good for the money.
659,5,nice product
660,5,good
661,5,Good
662,5,Brilliance
663,5,Performance
664,5,Buy it and you would see it is one of the best
665,4,It's okay
666,4,u can choose this
667,4,Overall good !
668,4,Value comb for little demanding works
669,4,AWSOME product
670,4,Nothing
671,4,Good
672,4,More price than on company website.
673,4,7/10
674,4,Overall Value For Money
675,3,FIRST LAPTOP WAS DEFECTIVE PIECE.
676,3,Don't buy without ssd
677,3,It lags sometimes and isn't that good as i expected
678,3,Lags occurs
679,3,Do not but
680,2,Product is slow
681,2,How can I make it work?
682,2,Don't by this peice of junk
683,1,Worst product
684,1,Not good
685,1,Worst laptop😣
686,1,Don't purchase this
687,1,BOGUS service for A BOGUS laptop... thugging people on the name of PERFORMANCE
688,1,Very Disappointed
689,1,Down vote
690,1,Good performance and good battery life .
691,1,Very worst product
692,1,Very Slow / Unreliable / Too costly
693,5,Beast With Beauty
694,5,Best purchase ever.
695,5,Overpriced
696,5,"Excellent laptop, Fast, Sleek - true value for money!"
697,5,Will Recommend 👍
698,5,Laptop that does complete justice to every penny paid
699,5,Light weight and very elegant looking laptop
700,5,"A really good 2in1, worthy buy"
701,5,Need Ultra portable Laptop? Envy 360x 13 right Choice.
702,5,At this price it's a steal
703,4,"Shiny, Tiny, Bright and Fast Convertible"
704,4,Great product but buy it only during offers.
705,4,Best laptop in this segment.
706,4,overall awesome.
707,4,Go for it!
708,4,Good laptop - 400nits brightness
709,4,Stylus
710,4,Best convertible laptop
711,4,Good product
